elo_prob1,score1,score2
0.528473724,30,33
0.501205977,24,23
0.702442558,19,9
0.71830861,31,24
0.709010334,30,24
0.60637851,20,24
0.523291049,25,21
0.465351348,14,16
0.826319685,14,6
0.642279378,31,30
0.468641149,23,41
0.562838846,29,3
0.432220131,17,16
0.660418393,20,10
0.613514977,16,26
0.641183536,31,7
0.734700992,7,27
0.761083013,31,7
0.63355873,20,27
0.516780979,27,23
0.815243459,23,3
0.4889235,23,40
0.577013799,27,20
0.736731348,27,31
0.525107264,34,30
0.620360367,30,9
0.915827331,45,17
0.571589987,20,17
0.555451787,38,0
0.86393848,37,21
0.419908128,11,35
0.443194019,40,32
0.464399059,23,30
0.525707261,14,24
0.511621644,31,7
0.369177205,17,6
0.634680606,10,13
0.535974626,30,21
0.458506643,27,34
0.643781752,38,13
0.471369924,20,23
0.881095574,52,20
0.31091432,23,20
0.250134404,3,37
0.63695591,38,17
0.591453994,37,24
0.449719445,34,28
0.466972964,23,26
0.640604579,34,3
0.695609787,21,36
0.454733138,22,6
0.411905236,27,17
0.712586299,22,9
0.526957254,18,26
0.343411987,48,51
0.764179987,34,20
0.400067012,13,6
0.655897163,17,26
0.742047736,28,30
0.734422637,27,21
0.597955644,20,31
0.724467006,13,38
0.711689453,24,7
0.943116928,35,19
0.592068659,10,35
0.787368333,20,13
0.619028144,17,19
0.774863784,32,20
0.571883162,17,31
0.616608757,31,16
0.616619644,6,19
0.6307142,30,27
0.395644415,24,27
0.432141023,19,9
0.317334832,22,34
0.26756716,6,24
0.384980584,19,16
0.713197792,21,23
0.805254237,31,13
0.405594923,39,33
0.670947071,30,15
0.378525864,17,31
0.508364799,3,17
0.469849733,45,41
0.504841034,24,27
0.260104509,30,27
0.760192156,31,23
0.638365738,17,16
0.52374624,23,7
0.355437125,13,31
0.539272993,31,30
0.78034774,49,9
0.709107712,23,17
0.802317303,35,17
0.578232845,7,15
0.769225151,27,17
0.460711275,21,18
0.817337662,45,21
0.907217917,42,10
0.315612686,31,44
0.445411178,27,13
0.308334005,9,14
0.418118593,22,20
0.896909505,27,24
0.51281971,30,24
0.80536976,55,31
0.4444743,13,23
0.74218985,27,23
0.312554509,26,20
0.589393766,21,28
0.677834682,34,10
0.600035224,20,49
0.438040926,24,27
0.345729969,24,18
0.747187041,20,27
0.489760685,34,27
0.662520797,23,10
0.794743475,13,27
0.849934618,27,29
0.657040862,19,21
0.553973029,20,17
0.341423665,20,28
0.719934095,24,20
0.600576654,27,24
0.666150947,9,10
0.329171133,10,33
0.664874653,49,17
0.793643571,8,38
0.40219936,22,19
0.482776285,27,30
0.459152713,27,13
0.762230426,41,20
0.635718375,24,16
0.463942339,41,28
0.588193766,20,16
0.519924075,37,27
0.717991684,23,28
0.501758592,37,14
0.873445317,41,20
0.296112026,14,27
0.561883971,23,20
0.766927181,27,17
